transaction_id,account_id,timestamp,amount,currency,merchant,merchant_category,country,channel,counterparty_account,is_anomaly,anomaly_type
6548dfc8-76da-3747-8fae-e492f7d9f605,acc_00034,2026-01-01 00:45:00,58.16,USD,TST* ALIEXPRESS US,5999,US,pos,acc_00054,False,none
9e3ae7ed-e2fb-df5f-1733-dcde07ef3d7c,acc_00072,2026-01-01 03:07:00,10.57,USD,SQ *EBAY INC,5999,US,online,acc_00051,False,none
a1298fa2-227d-4660-293f-c26697a418b8,acc_00006,2026-01-01 04:15:00,10.84,CAD,CHEVRONINC,5541,CA,pos,,False,none
5ea0942c-3f91-c419-e846-a9df73733554,acc_00010,2026-01-01 04:18:00,6.12,GBP,BP,5541,GB,pos,,False,none
8ebbcfe7-11ee-0e9c-e373-848bdfbcec8a,acc_00082,2026-01-01 05:30:00,105.8,USD,POS DEBIT CHIPOTLE LLC,5812,US,pos,,False,none
63d2b7c6-ab1f-0327-e59a-5f4ef8f218d0,acc_00033,2026-01-01 05:57:00,16.56,EUR,Shell,5541,FR,pos,,False,none
06c38094-6aad-6cf6-c065-8100216ca920,acc_00071,2026-01-01 06:20:00,22.57,CAD,TST* Safeway INC,5411,CA,pos,acc_00060,False,none
31fd1e5e-f865-61ef-1131-45d24346cce5,acc_00029,2026-01-01 06:25:00,10.03,USD,PAYPAL *Wendys,5814,US,pos,,False,none
80768a77-b25a-2225-885f-40aa666ef491,acc_00031,2026-01-01 06:32:00,8.54,USD,TST* McDonalds INC,5812,US,online,,False,none
164ba766-b4c7-573a-84c8-4c23676e34be,acc_00030,2026-01-01 06:34:00,64.26,USD,PAYPAL *EBAY LLC,5999,US,pos,,False,none
09cb3942-43f5-9a85-fbc9-f87af668a617,acc_00000,2026-01-01 07:07:00,5.42,GBP,SQ *Wendys #445,5814,GB,online,,False,none
3cc6985f-c565-ad41-acb0-bce4164c0e98,acc_00039,2026-01-01 07:13:00,24.19,GBP,WWW.Dominos#445,5814,GB,pos,,False,none
9ef9ab9a-3141-7cc0-59ff-60d67eb7d909,acc_00048,2026-01-01 07:39:00,17.77,USD,PAYPAL *AMAZON US,5999,US,online,,False,none
2ba92adc-5df4-f636-1a4f-3f75e5fe5596,acc_00055,2026-01-01 07:44:00,7.66,USD,WWW.Kroger,5411,US,pos,,False,none
31c46c9e-70be-9630-4a63-33e3247474b3,acc_00013,2026-01-01 08:04:00,5303.05,INR,WHOLE FOODS,5411,IN,online,acc_00015,False,none
994254cc-6b34-41f7-9e76-37f16d23117e,acc_00080,2026-01-01 08:18:00,10.09,USD,POSDEBITWalmartINC,5411,US,pos,,False,none
bd303739-8f5a-5787-8edd-8e22536019db,acc_00021,2026-01-01 08:20:00,13.22,GBP,POS DEBIT KFC STORE 123,5814,GB,online,,False,none
c4b3486f-c68a-acec-ec52-8ec320aad273,acc_00099,2026-01-01 08:30:00,1401.42,INR,WWW.WALMARTIN,5411,IN,pos,,False,none
216b9833-bbf2-82a9-be09-f835067965ab,acc_00016,2026-01-01 08:39:00,1843.28,INR,PAYPAL *Exxon INC,5541,IN,online,,False,none
8900f547-01f5-9deb-ea4e-e2ddf0fe1354,acc_00045,2026-01-01 08:51:00,2.2,USD,PAYPAL *Kroger #445,5411,US,online,,False,none
5cb85aed-f5f6-2c97-6efb-63b11b049863,acc_00000,2026-01-01 08:54:00,3.96,GBP,WWW.MICROCENTER INC,5732,GB,pos,,False,none
d4db5496-31bc-99e6-6420-b22acae9250b,acc_00019,2026-01-01 09:00:00,460.18,INR,SQ*DominosIN,5814,IN,pos,acc_00076,False,none
5c518a84-53e1-5e86-a558-edb3a0de4e1d,acc_00053,2026-01-01 09:06:00,32.71,GBP,POS DEBIT TARGET #445,5411,GB,pos,,False,none
a8ecb6a1-7233-bf8c-324e-f0f7aa25e8da,acc_00026,2026-01-01 09:10:00,1504.72,INR,POS DEBIT SAMSUNG LLC,5732,IN,online,,False,none
6dac29b6-36ea-525d-e0d7-68bb080bf99f,acc_00033,2026-01-01 09:17:00,54.45,EUR,WWW.TACO BELL LLC,5812,FR,online,,False,none
b0ee1d54-78b6-3685-0f16-1581612981b0,acc_00044,2026-01-01 09:31:00,446.56,INR,Burger King LLC,5814,IN,pos,,False,none
901f2323-42c1-2184-4ae3-52b6a9850bd9,acc_00048,2026-01-01 09:43:00,12.91,USD,PAYPAL *Chevron LLC,5541,US,pos,,False,none
07083aa6-8d64-c7d3-54cf-479fbc006136,acc_00054,2026-01-01 09:43:00,4.62,USD,TST* SHELL US,5541,US,pos,,False,none
611f98ef-dc3c-423a-9bae-fd9e88c06786,acc_00017,2026-01-01 09:59:00,47.86,USD,POS DEBIT WALMART US,5411,US,online,acc_00026,False,none
d34bc67e-b206-aab0-c6a3-5eb8378629df,acc_00070,2026-01-01 10:03:00,295.4,INR,TST* Ebay STORE 123,5999,IN,pos,,False,none
f71bc83d-166b-6fd8-5297-970cf4bad423,acc_00087,2026-01-01 10:19:00,52.25,USD,WWW.BP INC,5541,US,online,,False,none
